Participant,Session,Delay,Environment,Block,Trial,TwoDTrial,Visible,TrialTime,RewardY,RewardX,RewardFound,RewardType
14,Train,Long,3,8,3,0,1,8.970588,NA,NA,1,M
14,Train,Long,3,8,4,0,1,8.7399,NA,NA,1,M
14,Train,Long,3,8,6,0,1,3.064923,NA,NA,1,M
14,Train,Long,3,8,7,0,1,6.717188,NA,NA,1,M
14,Train,Long,3,8,8,0,1,7.673062,NA,NA,1,M
14,Train,Long,3,8,9,0,1,4.938543,NA,NA,1,M
14,Train,Long,3,8,10,0,1,6.986311,NA,NA,1,M
14,Train,Long,3,8,12,0,1,4.86078,NA,NA,1,M
14,Train,Long,3,9,2,0,0,13.56527,NA,NA,1,M
14,Train,Long,3,9,3,0,0,10.12897,NA,NA,1,M
14,Train,Long,3,9,4,0,0,5.584145,NA,NA,1,M
14,Train,Long,3,9,5,0,0,10.7393,NA,NA,1,M
14,Train,Long,3,9,6,0,0,13.72297,NA,NA,1,M
14,Train,Long,3,9,7,0,0,10.88798,NA,NA,1,M
14,Train,Long,3,9,8,0,0,2.950535,NA,NA,1,M
14,Train,Long,3,9,11,0,0,4.664924,NA,NA,1,M
14,Train,Long,3,9,12,0,0,4.451229,NA,NA,1,M
14,Train,Long,3,9,14,0,0,7.509491,NA,NA,1,M
14,Train,Long,3,10,2,0,1,4.631954,NA,NA,1,F
14,Train,Long,3,10,3,0,0,11.00214,NA,NA,1,F
14,Train,Long,3,10,4,0,0,6.022815,NA,NA,1,W
14,Train,Long,3,10,5,0,1,2.449047,NA,NA,1,W
14,Train,Long,3,10,6,0,0,13.74998,NA,NA,1,W
14,Train,Long,3,10,7,0,0,6.039989,NA,NA,1,F
14,Train,Long,3,10,8,0,1,3.94894,NA,NA,1,M
14,Train,Long,3,10,10,0,0,4.464101,NA,NA,1,F
14,Train,Long,3,10,11,0,0,10.80552,NA,NA,1,M
14,Train,Long,3,10,12,0,0,6.30826,NA,NA,1,W
14,Train,Long,3,10,13,0,0,11.60804,NA,NA,1,M
14,Train,Long,3,10,14,0,0,4.995871,NA,NA,1,M
14,Train,Long,3,10,15,0,0,4.716502,NA,NA,1,M
14,Train,Long,3,10,16,0,0,3.402925,NA,NA,1,W
14,Train,Long,3,10,17,0,0,2.858766,NA,NA,1,F
14,Train,Long,3,10,18,0,0,2.828526,NA,NA,1,M
14,Train,Long,3,10,20,0,0,6.605681,NA,NA,1,M
14,Train,Long,3,10,21,0,0,2.244225,NA,NA,1,W
14,Train,Long,3,10,24,0,0,13.04683,NA,NA,1,F
14,Train,Long,3,10,25,0,0,11.93743,NA,NA,1,M
14,Train,Long,3,10,26,0,0,10.49568,NA,NA,1,W
14,Train,Long,3,10,27,0,0,3.7503,NA,NA,1,F
14,Train,Long,3,10,29,0,0,4.877676,NA,NA,1,M
14,Train,Long,3,10,30,0,0,5.237116,NA,NA,1,W
14,Train,Long,3,10,31,0,0,8.052933,NA,NA,1,F
14,Train,Long,3,10,32,0,0,11.46122,NA,NA,1,W
14,Train,Long,3,10,34,0,0,3.351611,NA,NA,1,M
14,Train,Long,3,10,35,0,0,2.966782,NA,NA,1,W
14,Train,Long,3,10,36,0,0,4.195751,NA,NA,1,F
14,Train,Long,3,10,38,0,0,7.904049,NA,NA,1,F
14,Train,Long,3,10,39,0,0,1.701628,NA,NA,1,F
16,Train,Short,3,3,1,0,1,4.395458,NA,NA,1,F
16,Train,Short,3,3,2,0,0,38.27234,NA,NA,1,NoReward
16,Train,Short,3,4,1,0,1,6.153728,NA,NA,1,F
16,Train,Short,3,4,2,0,1,3.1668,NA,NA,1,F
16,Train,Short,3,4,3,0,1,6.43093,NA,NA,1,F
16,Train,Short,3,4,4,0,1,7.933718,NA,NA,1,F
16,Train,Short,3,4,6,0,1,5.068027,NA,NA,1,F
16,Train,Short,3,4,8,0,1,6.664156,NA,NA,1,F
16,Train,Short,3,4,9,0,1,6.154071,NA,NA,1,F
16,Train,Short,3,4,10,0,1,6.915904,NA,NA,1,F
16,Train,Short,3,4,11,0,1,5.504915,NA,NA,1,F
16,Train,Short,3,4,12,0,1,7.322207,NA,NA,1,F
16,Train,Short,3,5,1,0,0,11.24447,NA,NA,1,F
16,Train,Short,3,5,2,0,0,3.063173,NA,NA,1,F
16,Train,Short,3,5,3,0,0,9.565304,NA,NA,1,F
16,Train,Short,3,5,4,0,0,2.949387,NA,NA,1,F
16,Train,Short,3,5,5,0,0,6.284269,NA,NA,1,F
16,Train,Short,3,5,8,0,0,12.26382,NA,NA,1,F
16,Train,Short,3,5,9,0,0,11.09401,NA,NA,1,F
16,Train,Short,3,5,12,0,0,7.020627,NA,NA,1,F
16,Train,Short,3,5,15,0,0,6.891303,NA,NA,1,F
16,Train,Short,3,6,1,0,1,6.253188,NA,NA,1,W
16,Train,Short,3,6,2,0,1,4.729142,NA,NA,1,W
16,Train,Short,3,6,3,0,1,5.988802,NA,NA,1,W
16,Train,Short,3,6,4,0,1,3.185441,NA,NA,1,W
16,Train,Short,3,6,5,0,1,4.30142,NA,NA,1,W
16,Train,Short,3,6,6,0,1,3.732388,NA,NA,1,W
16,Train,Short,3,6,7,0,1,2.860831,NA,NA,1,W
16,Train,Short,3,6,8,0,1,2.665715,NA,NA,1,W
16,Train,Short,3,6,9,0,1,2.881845,NA,NA,1,W
16,Train,Short,3,6,10,0,1,3.346642,NA,NA,1,W
16,Train,Short,3,6,11,0,1,4.466822,NA,NA,1,W
16,Train,Short,3,6,12,0,1,2.186985,NA,NA,1,W
16,Train,Short,3,7,1,0,0,5.841959,NA,NA,1,W
16,Train,Short,3,7,2,0,0,5.588871,NA,NA,1,W
16,Train,Short,3,7,5,0,0,7.459133,NA,NA,1,W
16,Train,Short,3,7,8,0,0,10.322,NA,NA,1,W
16,Train,Short,3,7,9,0,0,3.667716,NA,NA,1,W
16,Train,Short,3,7,11,0,0,3.547511,NA,NA,1,W
16,Train,Short,3,7,12,0,0,7.591864,NA,NA,1,W
16,Train,Short,3,7,13,0,0,8.880793,NA,NA,1,W
16,Train,Short,3,7,14,0,0,5.328496,NA,NA,1,W
16,Train,Short,3,8,1,0,1,6.725307,NA,NA,1,M
16,Train,Short,3,8,2,0,1,6.506369,NA,NA,1,M
16,Train,Short,3,8,3,0,1,1.645107,NA,NA,1,M
16,Train,Short,3,8,4,0,1,3.470904,NA,NA,1,M
16,Train,Short,3,8,5,0,1,5.452342,NA,NA,1,M
16,Train,Short,3,8,6,0,1,3.82845,NA,NA,1,M
16,Train,Short,3,8,7,0,1,3.504193,NA,NA,1,M
16,Train,Short,3,8,8,0,1,4.959786,NA,NA,1,M
16,Train,Short,3,8,9,0,1,3.718511,NA,NA,1,M
16,Train,Short,3,8,10,0,1,6.171951,NA,NA,1,M
16,Train,Short,3,8,11,0,1,3.713754,NA,NA,1,M
16,Train,Short,3,8,12,0,1,3.857094,NA,NA,1,M
16,Train,Short,3,9,1,0,0,7.112067,NA,NA,1,M
16,Train,Short,3,9,3,0,0,5.226252,NA,NA,1,M
16,Train,Short,3,9,5,0,0,5.018887,NA,NA,1,M
16,Train,Short,3,9,11,0,0,3.738724,NA,NA,1,M
16,Train,Short,3,9,12,0,0,13.87984,NA,NA,1,M
16,Train,Short,3,9,14,0,0,8.324502,NA,NA,1,M
16,Train,Short,3,10,2,0,1,4.232759,NA,NA,1,F
16,Train,Short,3,10,3,0,0,5.609533,NA,NA,1,M
16,Train,Short,3,10,5,0,1,7.081531,NA,NA,1,W
16,Train,Short,3,10,7,0,0,4.604622,NA,NA,1,W
16,Train,Short,3,10,8,0,1,3.918947,NA,NA,1,M
16,Train,Short,3,10,10,0,0,5.490712,NA,NA,1,W
16,Train,Short,3,10,11,0,0,7.166274,NA,NA,1,W
16,Train,Short,3,10,14,0,0,14.81979,NA,NA,1,F
16,Train,Short,3,10,16,0,0,5.160999,NA,NA,1,M
16,Train,Short,3,10,18,0,0,3.726545,NA,NA,1,M
16,Train,Short,3,10,20,0,0,4.833884,NA,NA,1,M
16,Train,Short,3,10,22,0,0,3.489077,NA,NA,1,F
16,Train,Short,3,10,24,0,0,10.96001,NA,NA,1,F
16,Train,Short,3,10,25,0,0,2.32874,NA,NA,1,F
16,Train,Short,3,10,27,0,0,9.159535,NA,NA,1,F
16,Train,Short,3,10,28,0,0,4.007294,NA,NA,1,W
16,Train,Short,3,10,29,0,0,1.577886,NA,NA,1,M
16,Train,Short,3,10,30,0,0,4.518103,NA,NA,1,W
16,Train,Short,3,10,31,0,0,4.211472,NA,NA,1,W
16,Train,Short,3,10,32,0,0,13.62285,NA,NA,1,F
16,Train,Short,3,10,35,0,0,4.199244,NA,NA,1,W
16,Train,Short,3,10,36,0,0,12.43324,NA,NA,1,W
16,Train,Short,3,10,37,0,0,6.859629,NA,NA,1,W
16,Train,Short,3,10,38,0,0,10.11502,NA,NA,1,F
18,Train,Long,3,3,1,0,1,5.951098,NA,NA,1,F
18,Train,Long,3,3,2,0,0,5.636708,NA,NA,1,NoReward
18,Train,Long,3,4,1,0,1,5.389251,NA,NA,1,F
18,Train,Long,3,4,2,0,1,5.113643,NA,NA,1,F
18,Train,Long,3,4,3,0,1,6.135493,NA,NA,1,F
18,Train,Long,3,4,5,0,1,5.669153,NA,NA,1,F
18,Train,Long,3,4,6,0,1,4.585122,NA,NA,1,F
18,Train,Long,3,4,8,0,1,5.247096,NA,NA,1,F
18,Train,Long,3,4,9,0,1,7.485653,NA,NA,1,F
18,Train,Long,3,4,10,0,1,7.207829,NA,NA,1,F
18,Train,Long,3,4,11,0,1,6.037877,NA,NA,1,F
18,Train,Long,3,4,12,0,1,3.397832,NA,NA,1,F
18,Train,Long,3,5,1,0,0,9.544453,NA,NA,1,F
18,Train,Long,3,5,3,0,0,8.641767,NA,NA,1,F
18,Train,Long,3,5,4,0,0,4.705056,NA,NA,1,F
18,Train,Long,3,5,9,0,0,7.949635,NA,NA,1,F
18,Train,Long,3,6,1,0,1,7.569586,NA,NA,1,W
18,Train,Long,3,6,3,0,1,9.361877,NA,NA,1,W
18,Train,Long,3,6,7,0,1,6.457082,NA,NA,1,W
18,Train,Long,3,6,9,0,1,4.688808,NA,NA,1,W
18,Train,Long,3,6,10,0,1,4.623556,NA,NA,1,W
18,Train,Long,3,6,11,0,1,6.332187,NA,NA,1,W
